City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,San Juan,AR,-31.5375,-68.5364,67.05,39,3,5.03,clear sky
187,Marshall,US,34.3834,-86.3333,37.22,69,75,10.36,broken clouds
188,Saint-Joseph,RE,-21.3667,55.6167,82.78,77,17,11.61,light rain
189,Nagornyy,RU,52.7959,83.5498,14.31,92,100,14.14,light snow
190,Peniche,PT,39.3558,-9.3811,51.62,93,27,5.88,scattered clouds
191,Talnakh,RU,69.4865,88.3972,-4.95,74,39,9.66,scattered clouds
192,Lasa,IT,46.6166,10.7002,23.36,33,94,1.32,overcast clouds
193,Marevo,RU,57.3146,32.0804,28.36,92,100,10.11,light snow
194,Ostrovnoy,RU,68.0531,39.5131,15.53,97,96,4.5,overcast clouds
195,Cruzilia,BR,-21.8386,-44.8083,61.48,98,70,2.62,broken clouds
196,Saint-Philippe,RE,-21.3585,55.7679,83.79,79,26,13.35,light rain
197,Quatre Cocos,MU,-20.2078,57.7625,86.11,78,23,14.38,few clouds
198,Veselynove,UA,47.3567,31.2349,25.12,82,6,3.15,clear sky
199,Banepa,NP,27.6298,85.5214,57.52,55,20,3.44,few clouds
200,Sassandra,CI,4.95,-6.0833,75.33,94,27,4.74,light rain
201,Uva,RU,56.9908,52.1852,23.47,96,99,5.61,light snow
202,Monforte De Lemos,ES,42.5216,-7.5142,45.86,95,49,3.4,scattered clouds
203,Sinnamary,GF,5.3833,-52.95,75.58,90,27,8.81,scattered clouds
204,Husavik,IS,66.0449,-17.3389,9.7,94,50,13.6,scattered clouds
205,Peleduy,RU,59.6289,112.7406,-4.86,86,89,2.59,overcast clouds
206,Norman Wells,CA,65.282,-126.8329,-9.22,98,100,5.21,overcast clouds
207,Hambantota,LK,6.1241,81.1185,84.54,79,75,10.36,moderate rain
208,Hilo,US,19.7297,-155.09,73.13,73,40,3.44,scattered clouds
209,Burnie,AU,-41.0667,145.9167,69.94,77,100,7.83,overcast clouds
210,Paamiut,GL,61.994,-49.6678,18.21,85,100,13.27,overcast clouds
211,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,45,40,4.47,scattered clouds
212,Orange Cove,US,36.6244,-119.3137,59.58,39,62,5.41,broken clouds
213,Faanui,PF,-16.4833,-151.75,81.77,70,98,12.41,overcast clouds
214,Cockburn Town,TC,21.4612,-71.1419,77.25,73,0,21.68,clear sky
215,Pangnirtung,CA,66.1451,-65.7125,-27.27,99,100,2.77,overcast clouds
216,Puerto Colombia,CO,10.9878,-74.9547,78.44,81,18,25.37,few clouds
217,Kavaratti,IN,10.5669,72.642,81.36,68,12,7.92,few clouds
218,Marsh Harbour,BS,26.5412,-77.0636,74.71,87,36,11.03,scattered clouds
219,Hualmay,PE,-11.0964,-77.6139,70.43,80,99,7.0,overcast clouds
220,Khash,IR,28.2211,61.2158,55.33,34,31,2.08,scattered clouds
221,Terrasini,IT,38.146,13.0844,50.07,84,40,3.44,scattered clouds
222,Aras,ES,42.5617,-2.356,41.32,100,40,4.61,scattered clouds
223,Barcarena,BR,-1.5058,-48.6258,77.05,91,100,7.76,light rain
224,Chuy,UY,-33.6971,-53.4616,63.68,88,100,11.95,overcast clouds
225,Oranjemund,NA,-28.55,16.4333,66.78,83,3,2.8,clear sky
226,Shirvan,AZ,39.9509,48.8994,48.06,54,30,3.91,scattered clouds
227,Hay River,CA,60.8156,-115.7999,-2.24,84,100,10.36,light snow
228,Sakaiminato,JP,35.55,133.2333,43.7,88,100,12.97,moderate rain
229,Sarangarh,IN,21.6,83.0833,75.51,19,23,4.79,few clouds
230,Codrington,AU,-38.2667,141.9667,78.49,37,100,16.4,overcast clouds
231,Mandalgovi,MN,45.7625,106.2708,-0.04,60,11,5.68,few clouds
232,Kyra,RU,49.5776,111.9753,-2.07,74,42,3.02,scattered clouds
233,Gulu,UG,2.7746,32.299,76.33,44,77,3.11,broken clouds
234,Bathsheba,BB,13.2167,-59.5167,76.28,75,32,19.53,scattered clouds
235,Clarence Town,AU,-32.5833,151.7833,78.94,49,63,7.92,broken clouds
236,Ucluelet,CA,48.9329,-125.5528,36.95,68,98,3.78,overcast clouds
237,Auki,SB,-8.7676,160.7034,82.63,75,98,0.94,overcast clouds
238,Surgut,RU,61.25,73.4167,-8.91,76,40,11.18,scattered clouds
239,Mimongo,GA,-1.6195,11.6068,69.82,97,100,2.24,light rain
240,Birao,CF,10.2849,22.7882,68.22,13,97,9.71,overcast clouds
241,Clyde River,CA,70.4692,-68.5914,-19.59,98,100,11.68,light snow
242,Biala Podlaska,PL,52.0324,23.1165,29.03,57,81,10.58,broken clouds
243,Sebring,US,27.4956,-81.4409,65.91,61,40,5.75,scattered clouds
244,Kapaa,US,22.0752,-159.319,73.72,82,40,12.66,scattered clouds
245,Tuatapere,NZ,-46.1333,167.6833,52.83,81,100,3.6,overcast clouds
246,Fukue,JP,32.6881,128.8419,52.38,73,98,21.21,overcast clouds
247,Otradnoye,RU,59.7775,30.8181,35.04,94,100,9.26,snow
248,Port-Gentil,GA,-0.7193,8.7815,80.78,80,100,8.55,overcast clouds
249,Tual,ID,-5.6667,132.75,82.83,70,56,4.38,broken clouds
250,Pandhurna,IN,21.6,78.5167,76.14,18,27,4.47,scattered clouds
251,Mount Isa,AU,-20.7333,139.5,94.21,33,57,6.62,light rain
252,Buchanan,LR,5.8808,-10.0467,76.96,88,1,4.63,light rain
253,Madisonville,US,37.3281,-87.4989,22.86,70,37,1.01,scattered clouds
254,Khatanga,RU,71.9667,102.5,-17.59,95,67,4.56,broken clouds
255,Leningradskiy,RU,69.3833,178.4167,-12.75,96,96,4.47,overcast clouds
256,Torbay,CA,47.6666,-52.7314,45.57,95,100,25.32,light intensity drizzle
257,Alta Floresta,BR,-9.8756,-56.0861,68.88,98,100,2.28,overcast clouds
258,Mangai,CD,-4.05,19.5333,71.38,94,100,0.47,overcast clouds
259,Kaeo,NZ,-35.1,173.7833,70.32,67,4,11.41,clear sky
260,San Francisco Del Mar,MX,16.2333,-94.65,79.39,69,0,26.46,clear sky
261,Geraldton,AU,-28.7667,114.6,90.01,43,0,14.97,clear sky
262,Bandarbeyla,SO,9.4942,50.8122,77.97,70,62,14.81,light rain
263,Yatou,CN,37.15,122.3833,41.7,53,75,7.18,broken clouds
264,Great Yarmouth,GB,52.6083,1.7305,46.94,91,100,21.07,overcast clouds
265,Rudsar,IR,37.1376,50.288,48.25,66,0,3.53,clear sky
266,Kloulklubed,PW,7.0419,134.2556,84.7,75,91,19.53,overcast clouds
267,Cap Malheureux,MU,-19.9842,57.6142,86.49,71,29,13.0,scattered clouds
268,Wakkanai,JP,45.4094,141.6739,26.71,88,100,16.51,overcast clouds
269,Inhambane,MZ,-23.865,35.3833,79.36,66,90,6.82,overcast clouds
270,Dragor,DK,55.5946,12.6664,37.06,77,20,14.97,few clouds
271,Acari,PE,-15.4311,-74.6158,71.8,80,64,3.11,broken clouds
272,Salalah,OM,17.0151,54.0924,77.09,61,20,2.3,few clouds
273,Fallon,US,39.4735,-118.7774,33.67,60,0,6.91,clear sky
274,Alappuzha,IN,9.49,76.3264,81.9,69,83,2.82,broken clouds
275,Lebu,CL,-37.6167,-73.65,57.2,90,100,2.21,overcast clouds
276,Altotonga,MX,19.7667,-97.2333,50.07,100,90,5.06,overcast clouds
277,Kaitangata,NZ,-46.2817,169.8464,54.93,85,99,9.4,overcast clouds
278,Rivers,CA,50.0308,-100.2403,-22.65,100,9,1.23,clear sky
279,East London,ZA,-33.0153,27.9116,78.04,83,75,18.3,broken clouds
280,Tongliao,CN,43.6125,122.2653,12.06,79,48,9.17,scattered clouds
281,Fivizzano,IT,44.2383,10.126,39.42,68,80,5.35,broken clouds
282,Geghamavan,AM,40.5634,44.8879,14.94,70,30,5.23,scattered clouds
283,Maitum,PH,6.0392,124.4986,85.1,66,100,5.23,overcast clouds
284,Longyearbyen,SJ,78.2186,15.6401,12.04,85,0,2.3,clear sky
285,Raga,SS,8.4596,25.678,69.89,18,56,6.71,broken clouds
286,Asau,RO,46.4333,26.4,22.95,94,25,3.13,scattered clouds
287,Huarmey,PE,-10.0681,-78.1522,71.89,77,68,6.67,broken clouds
288,Padang,ID,-0.9492,100.3543,87.85,64,93,6.35,overcast clouds
289,Ballina,AU,-28.8667,153.5667,77.18,74,35,14.61,scattered clouds
290,Popondetta,PG,-8.7537,148.2534,84.94,66,54,4.41,broken clouds
291,Narsaq,GL,60.9167,-46.05,28.62,96,100,1.5,overcast clouds
292,Japura,ID,-0.3167,102.35,90.27,53,92,3.18,overcast clouds
293,Sorong,ID,-0.8833,131.25,82.71,72,58,5.19,light rain
294,Skutec,CZ,49.8435,15.9966,31.8,79,81,12.39,broken clouds
295,Havelock,US,34.8791,-76.9013,57.92,82,100,4.92,overcast clouds
296,Sangar,RU,63.9242,127.4739,-17.57,94,100,1.61,overcast clouds
297,Pevek,RU,69.7008,170.3133,-18.04,98,100,7.7,overcast clouds
298,Vanderhoof,CA,54.0166,-124.0198,30.09,96,100,1.05,overcast clouds
299,Zhezkazgan,KZ,47.8043,67.7144,28.38,93,100,26.84,overcast clouds
300,Ulaangom,MN,49.9811,92.0667,-19.68,94,98,3.96,overcast clouds
301,Livingston,GB,55.9029,-3.5226,44.8,87,0,9.22,clear sky
302,Tulle,FR,45.3333,1.8333,40.75,92,24,5.1,few clouds
